y,m1,m2,x1,x2,u,v
NA,NA,NA,1,0.253557743,-1,-1
NA,NA,NA,1,0.313846626,-0.98,-1
NA,NA,NA,1,-0.006783894,-0.96,-1
NA,NA,NA,1,0.308290907,-0.94,-1
NA,NA,NA,1,0.050042272,-0.92,-1
NA,NA,NA,1,0.714203109,-0.9,-1
NA,NA,NA,1,-0.666604482,-0.88,-1
NA,NA,NA,1,0.665833924,-0.86,-1
NA,NA,NA,1,0.490861326,-0.84,-1
NA,NA,NA,1,-0.494886695,-0.82,-1
NA,NA,NA,1,-0.138068802,-0.8,-1
NA,NA,NA,1,0.031353606,-0.78,-1
NA,NA,NA,1,0.887345459,-0.76,-1
NA,NA,NA,1,-0.666099893,-0.74,-1
NA,NA,NA,1,-0.267360733,-0.72,-1
NA,NA,NA,1,-0.949259336,-0.7,-1
NA,NA,NA,1,0.917624566,-0.68,-1
NA,NA,NA,1,-0.410834588,-0.66,-1
NA,NA,NA,1,-0.113331292,-0.64,-1
NA,NA,NA,1,0.632283807,-0.62,-1
NA,NA,NA,1,-0.645940378,-0.6,-1
NA,NA,NA,1,-0.735156033,-0.58,-1
NA,NA,NA,1,0.197506315,-0.56,-1
NA,NA,NA,1,-0.379807147,-0.54,-1
NA,NA,NA,1,0.891288244,-0.52,-1
NA,NA,NA,1,0.673937231,-0.5,-1
NA,NA,NA,1,0.150164755,-0.48,-1
NA,NA,NA,1,0.564799884,-0.46,-1
NA,NA,NA,1,-0.570959202,-0.44,-1
NA,NA,NA,1,-0.022221835,-0.42,-1
NA,NA,NA,1,-0.283575717,-0.4,-1
NA,NA,NA,1,-0.744304591,-0.38,-1
NA,NA,NA,1,0.259571354,-0.36,-1
NA,NA,NA,1,-0.817702695,-0.34,-1
NA,NA,NA,1,0.118928353,-0.32,-1
NA,NA,NA,1,-0.363508452,-0.3,-1
NA,NA,NA,1,0.739975994,-0.28,-1
NA,NA,NA,1,-0.468549835,-0.26,-1
NA,NA,NA,1,-0.477718007,-0.24,-1
NA,NA,NA,1,-0.570327336,-0.22,-1
NA,NA,NA,1,-0.014571492,-0.2,-1
NA,NA,NA,1,-0.57341043,-0.18,-1
