y,m1,m2,x1,x2,u,v
NA,NA,NA,1,-0.777045647,-1,-1
NA,NA,NA,1,0.294732879,-0.98,-1
NA,NA,NA,1,-0.982165566,-0.96,-1
NA,NA,NA,1,-0.396848623,-0.94,-1
NA,NA,NA,1,-0.445544435,-0.92,-1
NA,NA,NA,1,0.794553486,-0.9,-1
NA,NA,NA,1,0.723516893,-0.88,-1
NA,NA,NA,1,-0.771130444,-0.86,-1
NA,NA,NA,1,0.469102251,-0.84,-1
NA,NA,NA,1,-0.998370448,-0.82,-1
NA,NA,NA,1,-0.859586232,-0.8,-1
NA,NA,NA,1,0.13487504,-0.78,-1
NA,NA,NA,1,0.183444026,-0.76,-1
NA,NA,NA,1,0.305624784,-0.74,-1
NA,NA,NA,1,-0.194951087,-0.72,-1
NA,NA,NA,1,0.982581522,-0.7,-1
NA,NA,NA,1,-0.920370824,-0.68,-1
NA,NA,NA,1,0.855358237,-0.66,-1
NA,NA,NA,1,-0.829009147,-0.64,-1
NA,NA,NA,1,-0.094846072,-0.62,-1
NA,NA,NA,1,-0.807831946,-0.6,-1
NA,NA,NA,1,0.072710592,-0.58,-1
NA,NA,NA,1,-0.565828905,-0.56,-1
NA,NA,NA,1,0.407537168,-0.54,-1
NA,NA,NA,1,-0.279549307,-0.52,-1
NA,NA,NA,1,0.843326603,-0.5,-1
NA,NA,NA,1,0.845630366,-0.48,-1
NA,NA,NA,1,-0.928411524,-0.46,-1
NA,NA,NA,1,0.218367067,-0.44,-1
NA,NA,NA,1,0.339857129,-0.42,-1
NA,NA,NA,1,-0.694646226,-0.4,-1
NA,NA,NA,1,0.425366375,-0.38,-1
NA,NA,NA,1,-0.207447996,-0.36,-1
NA,NA,NA,1,0.653530999,-0.34,-1
NA,NA,NA,1,-0.819432556,-0.32,-1
NA,NA,NA,1,-0.97665282,-0.3,-1
NA,NA,NA,1,-0.687141409,-0.28,-1
NA,NA,NA,1,-0.64532896,-0.26,-1
NA,NA,NA,1,0.368510895,-0.24,-1
NA,NA,NA,1,0.854724193,-0.22,-1
NA,NA,NA,1,0.72812699,-0.2,-1
NA,NA,NA,1,-0.013677313,-0.18,-1
NA,NA,NA,1,-0.463865778,-0.16,-1
NA,NA,NA,1,0.048675959,-0.14,-1
NA,NA,NA,1,0.129176255,-0.12,-1
NA,NA,NA,1,0.424202043,-0.1,-1
NA,NA,NA,1,0.269538754,-0.08,-1
NA,NA,NA,1,0.82210121,-0.06,-1
NA,NA,NA,1,0.228617471,-0.04,-1
NA,NA,NA,1,-0.461320788,-0.02,-1
NA,NA,NA,1,0.889743004,0,-1
NA,NA,NA,1,-0.278347987,0.02,-1
NA,NA,NA,1,-0.763474578,0.04,-1
NA,NA,NA,1,-0.914815427,0.06,-1
NA,NA,NA,1,0.851448421,0.08,-1
NA,NA,NA,1,-0.187079356,0.1,-1
NA,NA,NA,1,0.001921601,0.12,-1
NA,NA,NA,1,0.404783333,0.14,-1
NA,NA,NA,1,0.98506627,0.16,-1
NA,NA,NA,1,-0.790152573,0.18,-1
NA,NA,NA,1,-0.031524167,0.2,-1
NA,NA,NA,1,-0.275098676,0.22,-1
NA,NA,NA,1,-0.079922827,0.24,-1
NA,NA,NA,1,-0.878135518,0.26,-1
NA,NA,NA,1,0.581379564,0.28,-1
NA,NA,NA,1,0.266364611,0.3,-1
NA,NA,NA,1,-0.097318887,0.32,-1
NA,NA,NA,1,0.269090396,0.34,-1
NA,NA,NA,1,0.148873772,0.36,-1
NA,NA,NA,1,-0.15730254,0.38,-1
NA,NA,NA,1,0.475239787,0.4,-1
NA,NA,NA,1,0.145882509,0.42,-1
NA,NA,NA,1,-0.160607819,0.44,-1
NA,NA,NA,1,-0.894579891,0.46,-1
NA,NA,NA,1,0.878209936,0.48,-1
