"y","m1","m2","m3","m4","x1","x2","u","v"
NA,NA,NA,NA,NA,1,-0.777045646682382,-1,-1
NA,NA,NA,NA,NA,1,0.294732878915966,-0.98,-1
NA,NA,NA,NA,NA,1,-0.982165566179901,-0.96,-1
NA,NA,NA,NA,NA,1,-0.396848623175174,-0.94,-1
NA,NA,NA,NA,NA,1,-0.445544434711337,-0.92,-1
NA,NA,NA,NA,NA,1,0.794553485698998,-0.9,-1
NA,NA,NA,NA,NA,1,0.723516893107444,-0.88,-1
NA,NA,NA,NA,NA,1,-0.771130444481969,-0.86,-1
NA,NA,NA,NA,NA,1,0.469102251343429,-0.84,-1
NA,NA,NA,NA,NA,1,-0.998370447661728,-0.82,-1
NA,NA,NA,NA,NA,1,-0.859586231876165,-0.8,-1
NA,NA,NA,NA,NA,1,0.134875040035695,-0.78,-1
NA,NA,NA,NA,NA,1,0.183444025926292,-0.76,-1
NA,NA,NA,NA,NA,1,0.305624783504754,-0.74,-1
NA,NA,NA,NA,NA,1,-0.194951086770743,-0.72,-1
NA,NA,NA,NA,NA,1,0.982581522315741,-0.7,-1
NA,NA,NA,NA,NA,1,-0.920370824169368,-0.68,-1
NA,NA,NA,NA,NA,1,0.85535823693499,-0.66,-1
NA,NA,NA,NA,NA,1,-0.82900914689526,-0.64,-1
NA,NA,NA,NA,NA,1,-0.0948460716754198,-0.62,-1
NA,NA,NA,NA,NA,1,-0.807831946294755,-0.6,-1
NA,NA,NA,NA,NA,1,0.0727105918340385,-0.58,-1
NA,NA,NA,NA,NA,1,-0.565828904975206,-0.56,-1
NA,NA,NA,NA,NA,1,0.40753716789186,-0.54,-1
NA,NA,NA,NA,NA,1,-0.279549307189882,-0.52,-1
NA,NA,NA,NA,NA,1,0.843326603062451,-0.5,-1
NA,NA,NA,NA,NA,1,0.845630366355181,-0.48,-1
NA,NA,NA,NA,NA,1,-0.928411523811519,-0.46,-1
NA,NA,NA,NA,NA,1,0.218367066700011,-0.44,-1
NA,NA,NA,NA,NA,1,0.339857129380107,-0.42,-1
NA,NA,NA,NA,NA,1,-0.694646225776523,-0.4,-1
